ER30001,ER30002,CP_FLAG,CDS97KID,CDS02KID,CDS07KID,TA05KID,TA05_RESP,TA05_PSID,TA07KID,TA07_RESP,TA07_PSID,TA09KID,TA09_RESP,TA09_PSID,TA11KID,TA11_RESP,TA11_PSID,PCGID_97,PCGPN_97,PCG97_REL,OCGID_97,OCGPN_97,OCG97_REL,PCGID_02,PCGPN_02,PCG02_REL,OCGID_02,OCGPN_02,OCG02_REL,PCGID_07,PCGPN_07,PCG07_REL,OCGID_07,OCGPN_07,OCG07_REL
4,37,1,1,,,,,,,,,1,3,8582,,,,4,179,1,,,,,,,,,,,,,,,
4,38,1,1,,,,,,,,,1,1,8180,1,1,7655,4,7,1,,,,,,,,,,,,,,,
4,39,1,1,1,1,,,,,,,1,3,13,1,2,1602,4,173,3,4,3,4,4,173,3,4,3,4,4,173,3,4,3,4
4,41,1,1,1,1,,,,,,,,,,1,1,2147,4,31,1,,,,4,31,1,,,,4,31,1,4,195,2
4,42,1,1,1,1,,,,,,,,,,,,,4,31,1,,,,4,31,1,,,,4,31,1,4,195,2
4,43,1,1,,,,,,,,,,,,,,,4,36,1,4,190,2,,,,,,,,,,,,
4,180,1,1,,,1,2,771,1,1,1130,1,1,77,1,2,1839,4,179,1,,,,,,,,,,,,,,,
4,187,1,1,1,,,,,,,,,,,,,,4,5,1,4,186,2,4,5,1,4,186,2,,,,,,
5,32,1,1,1,,1,3,624,1,2,8069,1,2,3976,1,2,8389,5,170,1,5,3,2,5,170,1,5,3,2,,,,,,
5,33,1,1,,1,,,,,,,,,,,,,5,172,1,5,5,2,,,,,,,5,5,2,5,177,
6,34,1,1,,,1,3,1202,1,1,5967,1,1,858,1,1,7106,6,172,1,6,6,2,,,,,,,,,,,,
7,39,1,1,1,,,,,1,3,1154,1,1,6730,1,1,83,7,171,1,7,5,2,7,171,1,,,,,,,,,
7,40,1,1,1,,,,,1,3,482,1,2,3836,1,2,177,7,171,1,7,5,2,7,171,1,,,,,,,,,
7,41,1,1,,1,,,,,,,1,3,576,1,3,1100,7,30,1,7,4,3,,,,,,,7,30,1,,,
7,44,1,1,,1,,,,,,,,,,1,3,1100,7,30,1,7,4,3,,,,,,,7,30,1,,,
7,45,1,1,1,1,,,,,,,,,,,,,7,175,1,7,31,2,7,175,1,7,31,2,7,175,1,7,31,2
7,46,1,1,,1,,,,,,,,,,,,,7,34,1,,,,,,,,,,7,177,2,,,
7,47,1,1,,1,,,,,,,,,,,,,7,34,1,,,,,,,,,,7,177,2,,,
10,33,1,1,1,1,,,,,,,,,,,,,10,177,1,,,,10,177,1,,,,10,177,1,,,
10,34,1,1,1,1,,,,,,,1,3,3276,,,,10,6,1,10,176,2,10,6,1,,,,10,6,1,,,
10,35,1,1,1,1,,,,,,,,,,1,3,8551,10,6,1,10,176,2,10,6,1,,,,10,6,1,,,
14,30,1,1,1,,1,3,736,1,3,3621,1,3,5994,1,3,1685,14,172,1,14,4,2,14,172,1,14,4,2,,,,,,
14,31,1,1,1,,,,,1,2,4149,1,1,713,1,1,1780,14,172,1,14,4,2,14,172,1,14,4,2,,,,,,
14,32,1,1,1,1,,,,,,,,,,1,3,964,14,3,1,14,173,2,14,3,1,14,173,2,14,3,1,14,173,2
14,33,1,1,1,1,,,,,,,,,,,,,14,3,1,14,173,2,14,3,1,14,173,2,14,3,1,14,173,2
16,33,1,1,,,,,,,,,,,,,,,16,4,1,16,172,2,,,,,,,,,,,,
18,38,1,1,1,,1,3,5647,1,1,1047,,,,,,,18,170,1,,,,18,170,1,18,193,,,,,,,
18,39,1,1,1,1,,,,,,,,,,,,,18,31,1,18,183,2,18,31,1,18,183,2,18,31,1,18,183,2
18,40,1,1,1,1,,,,,,,,,,,,,18,31,1,18,183,2,18,31,1,18,183,2,18,31,1,18,183,2
18,41,1,1,1,1,,,,,,,,,,,,,18,185,1,18,35,2,18,185,1,18,35,2,18,185,1,18,204,
18,187,0,1,,,,,,,,,,,,,,,18,173,,18,21,,,,,,,,,,,,,
18,189,1,1,1,1,,,,,,,,,,,,,18,173,,18,21,,18,173,,18,21,,18,173,,18,21,
18,191,1,1,,,,,,,,,,,,,,,18,190,1,18,3,,,,,,,,,,,,,
18,192,1,1,,,,,,,,,,,,,,,18,190,1,18,3,,,,,,,,,,,,,
22,30,1,1,1,,,,,1,3,2585,1,3,907,1,3,1751,22,3,1,22,174,2,22,3,1,22,2,3,,,,,,
22,31,1,1,1,1,,,,,,,1,3,962,1,3,841,22,173,1,,,,22,173,1,,,,22,173,1,,,
22,176,1,1,1,1,,,,,,,,,,1,3,5984,22,175,1,22,4,2,22,175,1,22,4,2,22,175,1,,,
39,31,1,1,1,1,,,,,,,,,,,,,39,174,1,39,30,2,39,174,1,39,30,2,39,174,1,39,30,2
