	(1)	(2)	(3)
VARIABLES	LTHS-both	HSG-both	CG-both
			
smpdum	-0.0108	-0.0148*	-0.00369
	[0.0144]	[0.00839]	[0.0193]
AFQTreg	0.351***	0.564***	0.793***
	[0.0407]	[0.0233]	[0.0732]
1980.year	0.0411**	-0.0135	-0.0887
	[0.0208]	[0.0113]	[0.0942]
1981.year	-0.0158	-0.0706***	-0.0800
	[0.0202]	[0.0113]	[0.0935]
1982.year	-0.115***	-0.142***	-0.123
	[0.0193]	[0.0112]	[0.0913]
1983.year	-0.192***	-0.201***	-0.163*
	[0.0201]	[0.0114]	[0.0904]
1984.year	-0.189***	-0.181***	-0.145
	[0.0205]	[0.0114]	[0.0918]
1985.year	-0.186***	-0.171***	-0.124
	[0.0201]	[0.0113]	[0.0915]
1986.year	-0.190***	-0.160***	-0.0689
	[0.0205]	[0.0117]	[0.0915]
1987.year	-0.153***	-0.100***	-0.00430
	[0.0211]	[0.0120]	[0.0919]
1988.year	-0.126***	-0.0872***	0.0150
	[0.0218]	[0.0122]	[0.0918]
1989.year	-0.144***	-0.0984***	0.00825
	[0.0213]	[0.0124]	[0.0914]
1990.year	-0.146***	-0.107***	-0.000605
	[0.0222]	[0.0126]	[0.0915]
1991.year	-0.141***	-0.123***	-0.0168
	[0.0240]	[0.0128]	[0.0918]
1992.year	-0.197***	-0.149***	-0.0407
	[0.0237]	[0.0131]	[0.0920]
1993.year	-0.185***	-0.154***	-0.0439
	[0.0246]	[0.0132]	[0.0918]
1994.year	-0.164***	-0.149***	-0.0235
	[0.0260]	[0.0136]	[0.0923]
2.nkids	0.0637***	-0.0129	-0.0516***
	[0.0142]	[0.00808]	[0.0190]
3.nkids	-0.0302	-0.0951***	-0.127***
	[0.0225]	[0.0155]	[0.0483]
4.nkids	-0.124**	-0.223***	-0.128
	[0.0627]	[0.0593]	[0.104]
1.mard	0.0651***	0.0681***	0.0765***
	[0.0134]	[0.00738]	[0.0152]
2.sex	-0.111***	0.398***	0.686***
	[0.0146]	[0.00827]	[0.0180]
Constant	1.468***	1.093***	0.103
	[0.0195]	[0.0120]	[0.0944]
			
Observations	15,640	62,521	14,070
R-squared	0.066	0.226	0.353
Robust standard errors in brackets			
*** p<0.01, ** p<0.05, * p<0.1			
